EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0.001,0.399*exp(-theta**2/2),4979074,5,5,12.4,8.4,3,3,5,1.0,5.516756530607597e-12,inf,0.9999999988664112,0.9999999988784996,0.6
1,PhySO,Feynman,feynman_I_6_2,1,0.001,0.399*exp(-theta**2/(2*sigma**2))/sigma,4886449,5,4,17.6,16.4,0,0,0,0.0,0.0001667763513438346,inf,0.9086136594701048,0.9084992695994888,0.0
2,PhySO,Feynman,feynman_I_6_2b,2,0.001,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,4834183,5,4,18.6,18.0,0,0,0,0.0,0.0011029151554642438,inf,0.6996936316137351,0.7025057935424821,0.0
3,PhySO,Feynman,feynman_I_8_14,3,0.001,((x1 - x2)**2 + (y1 - y2)**2)**0.5,4965001,5,5,21.2,21.2,False,False,False,0.0,inf,inf,0.0,0.0,0.0
4,PhySO,Feynman,feynman_I_9_18,4,0.001,G*m1*m2/((x1 - x2)**2 + (y1 - y2)**2 + (z1 - z2)**2),4956344,5,5,19.0,18.2,0,0,0,0.0,0.0012565233789151922,inf,0.9173317681370693,0.9174970486322414,0.0
5,PhySO,Feynman,feynman_I_10_7,5,0.001,m_0/(1 - v**2/c**2)**0.5,4958164,5,5,16.2,14.0,4,4,4,0.8,1.012492178386313e-09,inf,0.9999999993121915,0.9999999993157147,0.8
6,PhySO,Feynman,feynman_I_11_19,6,0.001,x1*y1 + x2*y2 + x3*y3,4975541,5,5,15.6,10.0,5,5,5,1.0,3.2655793245024925e-07,inf,0.9999999957136072,0.9999999957920622,1.0
7,PhySO,Feynman,feynman_I_12_1,7,0.001,Nn*mu,4959598,5,5,16.8,3.0,5,5,5,1.0,4.1995472245481135e-07,inf,0.9999999837105841,0.9999999147265223,1.0
8,PhySO,Feynman,feynman_I_12_2,8,0.001,0.08*q1*q2/(epsilon*r**2),4955890,5,5,15.6,10.0,5,5,5,1.0,2.8215635692415813e-12,inf,0.9999999996315002,0.999999999628551,1.0
9,PhySO,Feynman,feynman_I_12_4,9,0.001,0.08*q1/(epsilon*r**2),4954883,5,5,9.0,9.0,5,5,5,1.0,7.850368611552675e-15,inf,0.9999999999892458,0.9999999999892121,1.0
10,PhySO,Feynman,feynman_I_12_5,10,0.001,Ef*q2,4956183,5,5,4.0,3.2,5,5,5,1.0,2.0038537674660033e-06,inf,0.9999999223306613,0.9999999225631211,1.0
11,PhySO,Feynman,feynman_I_12_11,11,0.001,q*(B*v*sin(theta) + Ef),4957310,5,5,14.0,9.0,5,5,5,1.0,7.732491883514784e-08,inf,0.999999999885265,0.9999999998847551,1.0
