EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
27,PhySO,Feynman,feynman_I_29_4,27,0.01,omega/c,2248468,5,0,7.4,5.0,5,5,5,1.0,3.662881680260685e-08,0.00013972226437807147,0.9999999786936059,0.9999999786804468,1.0
28,PhySO,Feynman,feynman_I_29_16,28,0.01,1.41*(0.5*x1**2 - x1*x2*cos(theta1 - theta2) + 0.5*x2**2)**0.5,4954683,5,5,15.8,14.8,0,0,0,0.0,inf,inf,0.0,0.0,0.0
29,PhySO,Feynman,feynman_I_30_3,29,0.01,2*Int_0*sin(n*theta/2)**2/(1 - cos(theta)),4963198,5,5,12.8,12.4,0,0,0,0.0,2.562871416297623,1.0129041513544164,0.6254799017528966,0.6241115273063502,0.0
31,PhySO,Feynman,feynman_I_32_5,31,0.01,0.053*a**2*q**2/(c**3*epsilon),186,5,0,14.0,14.0,3,3,5,1.0,1.846532401512239e-08,4.495824795114334e-05,0.9999999699647368,0.9999999701400684,0.6
32,PhySO,Feynman,feynman_I_32_17,32,0.01,4.19*Ef**2*c*epsilon*omega**4*r**2/(omega**2 - omega_0**2)**2,4954219,5,5,15.8,16.2,0,0,0,0.0,3.92527556861842,1.314908539260538,0.8220675114167217,0.8252453082058802,0.0
33,PhySO,Feynman,feynman_I_34_8,33,0.01,B*q*v/p,4707033,5,4,8.0,7.0,5,5,5,1.0,1.7705204977012106e-08,9.645362707736182e-05,0.9999999998305248,0.9999999998308149,1.0
34,PhySO,Feynman,feynman_I_34_1,34,0.01,c*omega_0/(c - v),4671467,5,3,15.6,12.0,4,4,5,1.0,2.9181190044807887e-07,0.000472235061597585,0.9999999084715274,0.9999999088243716,0.8
35,PhySO,Feynman,feynman_I_34_14,35,0.01,omega_0*(c + v)/(c**2 - v**2)**0.5,4958541,5,5,18.0,16.4,0,0,0,0.0,45.22159274849244,6.24507122183982,0.0,0.0,0.4
36,PhySO,Feynman,feynman_I_34_27,36,0.01,0.159*h*omega,4367738,5,3,4.0,4.0,5,5,5,1.0,7.093354512459042e-08,0.00023161344076006384,0.9999998914402792,0.9999998914341713,1.0
37,PhySO,Feynman,feynman_I_37_4,37,0.01,2*I1**0.5*I2**0.5*cos(delta) + I1 + I2,4969269,5,5,18.2,17.0,0,0,0,0.0,0.03134947443798344,0.11236205058796642,0.9963345240602413,0.9962793028675195,0.2
38,PhySO,Feynman,feynman_I_38_12,38,0.01,0.318*epsilon*h**2/(m*q**2),4953013,5,5,12.0,12.0,5,5,5,1.0,2.8140299778380168e-08,8.040333073992982e-05,0.9999999864186889,0.9999999864518142,1.0
39,PhySO,Feynman,feynman_I_39_1,39,0.01,1.5*V*pr,4952650,5,4,6.0,4.0,5,5,5,1.0,6.347958221166018e-06,0.002193827348086842,0.9999998906648497,0.9999998906858155,1.0
40,PhySO,Feynman,feynman_I_39_11,40,0.01,V*pr/(gamma - 1),3674324,5,0,14.4,8.2,5,5,5,1.0,1.7350914842606136e-07,0.0003553679659842441,0.9999999816258905,0.9999999814750982,1.0
41,PhySO,Feynman,feynman_I_39_22,41,0.01,T*kb*n/V,4953700,5,5,13.8,7.0,5,5,5,1.0,2.2908831153370414e-06,0.001015048358871528,0.9999999776182235,0.9999999775288787,1.0
42,PhySO,Feynman,feynman_I_40_1,42,0.01,n_0*exp(-g*m*x/(T*kb)),4967730,5,5,6.6,6.2,0,0,0,0.0,0.6210281740297287,0.4617042900277319,0.0,0.0,0.0
43,PhySO,Feynman,feynman_I_41_16,43,0.01,0.016*h*omega**3/(c**2*(exp(0.159*h*omega/(T*kb)) - 1)),4953171,5,5,14.6,14.4,0,0,0,0.0,0.042569510974221264,0.0929794087105922,0.9954262947155837,0.9954061175443369,0.4
44,PhySO,Feynman,feynman_I_43_16,44,0.01,Volt*mu_drift*q/d,4952275,5,5,8.0,7.0,5,5,5,1.0,1.4017247587820784e-15,2.7306484984293556e-08,1.0,1.0,1.0
