complexity,length,reward,rmse,expression,expression_prefix,H0,Omega
4,4,0.8207497106186518,0.5782889074097999,(H0*log(x)),[mul H0 log x],28.275524471730165,1.0
5,5,0.8217581971022703,0.574329674658211,(sin(log(x))*H0),[mul sin log x H0],28.41124560223758,1.0
11,11,0.833732602149458,0.5280512198457485,(((((((log(((x)**(2))))**(-1))*1)*x))**(-1))*H0),[mul inv mul mul inv log n2 x 1 x H0],15.935000777377908,1.0
12,12,0.8338214512469033,0.5277128053893607,(H0+(((Omega/cos(((1)**(0.5))))/x)/((H0)**(-1)))),[add H0 div div div Omega cos sqrt 1 x inv H0],21.271585196176787,-0.5297381169582963
13,13,0.8374653715614024,0.5138954577722085,(((((H0)**(2))-(((x*(((((1)**(0.5))*((H0)**(-1))))**(2))))**(-1))))**(0.5)),[sqrt sub n2 H0 inv mul x n2 mul sqrt 1 inv H0],7.738747364531219,1.0
15,15,0.8957437948889945,0.30818666204388717,((((1*(x-(((cos(x))**(0.5))/Omega)))/(((x/H0))**(2))))**(0.5)),[sqrt div mul 1 sub x div sqrt cos x Omega n2 div x H0],7.737877744562897,0.7215775599538925
