complexity,length,reward,rmse,expression,expression_prefix,alpha0,f,phi
4,4,0.5001250625390898,0.20306144673252563,-((phi+phi)),[neg add phi phi],0.1,1.0,0.0006390617150549378
5,5,0.5067503356175034,0.1977504522306426,-(exp((alpha0*t))),[neg exp mul alpha0 t],-0.5728747919473913,1.0,1.0
6,6,0.5988570105817301,0.13608830363084048,(phi*sin((t*alpha0))),[mul phi sin mul t alpha0],0.7452213194373061,1.0,-0.21694361826255412
9,9,0.7383608071369466,0.07199111446239725,(sin(-((t*f)))/(t*alpha0)),[div sin neg mul t f mul t alpha0],0.32823065883943153,0.7308400194480993,1.0
10,10,0.7513167923113522,0.06724625402609698,(sin((f*-(t)))/exp((alpha0*t))),[div sin mul f neg t exp mul alpha0 t],0.10645279701516666,0.7261972135387865,1.0
13,13,0.9999253686679516,1.5163460987530267e-05,(sin(-((-((t*f))+phi)))*exp((t*alpha0))),[mul sin neg add neg mul t f phi exp mul t alpha0],-0.10111765315029665,0.7840034107444471,-2.5677237751278956
