EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
0,PhySO,Feynman,feynman_I_6_2a,0,0.0,0.399*exp(-theta**2/2),4983043,5,5,8.4,8.2,4,4,5,1.0,6.964864849523558e-19,inf,0.9999999999999999,0.9999999999999999,0.8
1,PhySO,Feynman,feynman_I_6_2,1,0.0,0.399*exp(-theta**2/(2*sigma**2))/sigma,4975294,5,5,14.4,13.0,0,0,0,0.0,0.0001200128096735464,inf,0.933427210861514,0.9339005350436129,0.0
2,PhySO,Feynman,feynman_I_6_2b,2,0.0,0.399*exp(-(theta - theta1)**2/(2*sigma**2))/sigma,4982141,5,5,16.8,16.2,0,0,0,0.0,0.001133694808757802,inf,0.6919774717469349,0.6904140464055322,0.0
3,PhySO,Feynman,feynman_I_8_14,3,0.0,((x1 - x2)**2 + (y1 - y2)**2)**0.5,4965206,5,5,19.8,18.4,2,2,2,0.4,0.558409353686694,inf,0.4337478153820977,0.4388480287457195,0.4
4,PhySO,Feynman,feynman_I_9_18,4,0.0,G*m1*m2/((x1 - x2)**2 + (y1 - y2)**2 + (z1 - z2)**2),4959155,5,5,19.6,18.2,0,0,0,0.0,0.001259691504674718,inf,0.9166978709735011,0.9177347532580259,0.0
5,PhySO,Feynman,feynman_I_10_7,5,0.0,m_0/(1 - v**2/c**2)**0.5,4956079,5,5,16.2,15.2,3,3,4,0.8,1.2971143155700743e-14,inf,0.9999999999999912,0.9999999999999913,0.8
6,PhySO,Feynman,feynman_I_11_19,6,0.0,x1*y1 + x2*y2 + x3*y3,4968946,5,5,10.0,10.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
7,PhySO,Feynman,feynman_I_12_1,7,0.0,Nn*mu,4960730,5,5,3.8,3.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
8,PhySO,Feynman,feynman_I_12_2,8,0.0,0.08*q1*q2/(epsilon*r**2),4957240,5,5,10.0,10.0,5,5,5,1.0,8.344682573046001e-33,inf,1.0,1.0,1.0
9,PhySO,Feynman,feynman_I_12_4,9,0.0,0.08*q1/(epsilon*r**2),4956054,5,5,9.0,9.0,5,5,5,1.0,7.986292442333366e-34,inf,1.0,1.0,1.0
10,PhySO,Feynman,feynman_I_12_5,10,0.0,Ef*q2,4955658,5,5,3.6,3.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
11,PhySO,Feynman,feynman_I_12_11,11,0.0,q*(B*v*sin(theta) + Ef),4964042,5,5,9.4,9.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
12,PhySO,Feynman,feynman_I_13_4,12,0.0,0.5*m*(u**2 + v**2 + w**2),4967511,5,5,19.0,13.0,5,5,5,1.0,3.221147056819e-29,inf,1.0,1.0,1.0
13,PhySO,Feynman,feynman_I_13_12,13,0.0,G*m1*m2*(r1 - r2)/(r1*r2),4958869,5,5,14.0,15.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
14,PhySO,Feynman,feynman_I_14_3,14,0.0,g*m*z,4953396,5,5,4.0,4.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
15,PhySO,Feynman,feynman_I_14_4,15,0.0,0.5*k_spring*x**2,4953463,5,5,6.0,6.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
16,PhySO,Feynman,feynman_I_15_3x,16,0.0,c**1.0*(-t*u + x)/(c**2 - u**2)**0.5,4960724,5,5,15.6,16.0,0,0,0,0.0,0.008305238065470599,inf,0.9968048602729924,0.996737525121466,0.0
17,PhySO,Feynman,feynman_I_15_3t,17,0.0,(t - u*x/c**2)/(1 - u**2/c**2)**0.5,4956969,5,5,17.0,17.8,0,0,0,0.0,0.0021982964925808873,inf,0.9985007084189932,0.9985233572438093,0.2
18,PhySO,Feynman,feynman_I_15_1,18,0.0,m_0*v/(1 - v**2/c**2)**0.5,4956900,5,5,19.4,17.4,0,0,1,0.2,1.791227188288042e-07,inf,0.9999999604958495,0.9999999590771845,1.0
19,PhySO,Feynman,feynman_I_16_6,19,0.0,(u + v)/(1 + u*v/c**2),4963311,5,5,19.0,17.6,0,0,0,0.0,0.019311117770500753,inf,0.9852174834190349,0.9850865195749611,0.0
20,PhySO,Feynman,feynman_I_18_4,20,0.0,(m1*r1 + m2*r2)/(m1 + m2),4960572,5,5,15.2,15.0,0,0,0,0.0,0.054510516505043495,inf,0.9243560025949755,0.9247240158807734,0.0
21,PhySO,Feynman,feynman_I_18_12,21,0.0,F*r*sin(theta),4966681,5,5,5.0,5.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
22,PhySO,Feynman,feynman_I_18_14,22,0.0,m*r*v*sin(theta),4957638,5,5,6.0,6.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
23,PhySO,Feynman,feynman_I_24_6,23,0.0,0.25*m*x**2*(omega**2 + omega_0**2),4955327,5,5,16.8,13.0,5,5,5,1.0,7.565348890911553e-30,inf,1.0,1.0,1.0
24,PhySO,Feynman,feynman_I_25_13,24,0.0,q/C,4954977,5,5,5.6,5.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
26,PhySO,Feynman,feynman_I_27_6,26,0.0,d1*d2/(d1*n + d2),4970272,5,5,11.0,10.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
27,PhySO,Feynman,feynman_I_29_4,27,0.0,omega/c,4953559,5,5,5.8,5.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
28,PhySO,Feynman,feynman_I_29_16,28,0.0,1.41*(0.5*x1**2 - x1*x2*cos(theta1 - theta2) + 0.5*x2**2)**0.5,4962165,5,5,16.6,15.4,0,0,0,0.0,inf,inf,0.0,0.0,0.0
29,PhySO,Feynman,feynman_I_30_3,29,0.0,2*Int_0*sin(n*theta/2)**2/(1 - cos(theta)),4965018,5,5,15.8,15.8,0,0,0,0.0,2.443316601804252,inf,0.6446398816189172,0.6417171020987522,0.0
31,PhySO,Feynman,feynman_I_32_5,31,0.0,0.053*a**2*q**2/(c**3*epsilon),339,5,0,14.0,14.0,4,4,5,1.0,5.492935185575249e-31,inf,1.0,1.0,0.8
32,PhySO,Feynman,feynman_I_32_17,32,0.0,4.19*Ef**2*c*epsilon*omega**4*r**2/(omega**2 - omega_0**2)**2,4954733,5,5,17.0,17.0,0,0,0,0.0,0.01840876736694167,inf,0.9991471810853857,0.9991438294300751,0.8
33,PhySO,Feynman,feynman_I_34_8,33,0.0,B*q*v/p,4951104,5,5,7.0,7.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
34,PhySO,Feynman,feynman_I_34_1,34,0.0,c*omega_0/(c - v),4958964,5,5,12.4,8.2,4,4,4,0.8,0.0,inf,1.0,1.0,0.8
35,PhySO,Feynman,feynman_I_34_14,35,0.0,omega_0*(c + v)/(c**2 - v**2)**0.5,4956513,5,5,21.0,20.2,0,0,0,0.0,1.6756122797462062e-07,inf,0.9999999317948557,0.9999999327151519,1.0
36,PhySO,Feynman,feynman_I_34_27,36,0.0,0.159*h*omega,4954965,5,5,4.0,4.0,5,5,5,1.0,1.1564796211776e-29,inf,1.0,1.0,1.0
37,PhySO,Feynman,feynman_I_37_4,37,0.0,2*I1**0.5*I2**0.5*cos(delta) + I1 + I2,4977924,5,5,17.6,17.0,0,0,0,0.0,0.032086846054415745,inf,0.9961048662751217,0.996019134415881,0.4
38,PhySO,Feynman,feynman_I_38_12,38,0.0,0.318*epsilon*h**2/(m*q**2),4952527,5,5,12.0,12.0,5,5,5,1.0,3.1391561862876855e-30,inf,1.0,1.0,1.0
39,PhySO,Feynman,feynman_I_39_1,39,0.0,1.5*V*pr,4955277,5,5,4.0,4.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
40,PhySO,Feynman,feynman_I_39_11,40,0.0,V*pr/(gamma - 1),4961266,5,5,8.6,8.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
41,PhySO,Feynman,feynman_I_39_22,41,0.0,T*kb*n/V,4957998,5,5,7.0,7.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
42,PhySO,Feynman,feynman_I_40_1,42,0.0,n_0*exp(-g*m*x/(T*kb)),4970552,5,5,19.0,17.0,False,False,False,0.0,0.6341034210321941,inf,0.0,0.0,0.0
43,PhySO,Feynman,feynman_I_41_16,43,0.0,0.016*h*omega**3/(c**2*(exp(0.159*h*omega/(T*kb)) - 1)),4953915,5,5,8.2,8.2,0,0,0,0.0,0.04480242213137219,inf,0.9951734377792492,0.9953311804145123,0.0
44,PhySO,Feynman,feynman_I_43_16,44,0.0,Volt*mu_drift*q/d,4951558,5,5,7.0,7.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
45,PhySO,Feynman,feynman_I_43_31,45,0.0,T*kb*mob,4953963,5,5,4.0,4.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
46,PhySO,Feynman,feynman_I_43_43,46,0.0,kb*v/(A*(gamma - 1)),4961373,5,5,12.0,11.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
47,PhySO,Feynman,feynman_I_44_4,47,0.0,log((V2/V1)**(T*kb*n)),4968970,5,5,10.0,11.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
48,PhySO,Feynman,feynman_I_47_23,48,0.0,gamma**0.5*pr**0.5/rho**0.5,4956582,5,5,10.0,10.0,5,5,5,1.0,5.316386322293102e-32,inf,1.0,1.0,1.0
49,PhySO,Feynman,feynman_I_48_2,49,0.0,c**3.0*m/(c**2 - v**2)**0.5,4953037,5,5,14.8,14.8,0,0,0,0.0,0.0061535797414135375,inf,0.9999993968976002,0.9999994000719217,1.0
50,PhySO,Feynman,feynman_I_50_26,50,0.0,x1*(alpha*cos(omega*t) + 1)*cos(omega*t),4968963,5,5,16.4,16.2,0,0,0,0.0,0.1915766301307877,inf,0.9503722244809469,0.9500534991275607,0.0
51,PhySO,Feynman,feynman_II_2_42,51,0.0,A*kappa*(-T1 + T2)/d,4960505,5,5,11.4,11.0,5,5,5,1.0,0.0,inf,1.0,1.0,1.0
52,PhySO,Feynman,feynman_II_3_24,52,0.0,0.08*Pwr/r**2,4953440,5,5,7.0,6.0,5,5,5,1.0,3.970265275584777e-33,inf,1.0,1.0,1.0
53,PhySO,Feynman,feynman_II_4_23,53,0.0,0.08*q/(epsilon*r),4953162,5,5,9.0,9.0,5,5,5,1.0,1.8896787274005324e-33,inf,1.0,1.0,1.0
54,PhySO,Feynman,feynman_II_6_11,54,0.0,0.08*p_d*cos(theta)/(epsilon*r**2),4965373,5,5,11.0,11.0,5,5,5,1.0,3.7862497780959603e-34,inf,1.0,1.0,1.0
55,PhySO,Feynman,feynman_II_6_15a,55,0.0,0.239*p_d*z*(x**2 + y**2)**0.5/(epsilon*r**5),4960765,5,5,12.6,12.6,0,0,0,0.0,0.006683506910484745,inf,0.951653365531671,0.953164634400804,0.2
