complexity,length,reward,rmse,expression,expression_prefix,H0,Omega
4,4,0.8207497106186518,0.5782889074097999,(H0*log(x)),[mul H0 log x],28.275524471730165,1.0
5,5,0.8380928819375313,0.5115281341288838,(H0*((log(x))**(0.5))),[mul H0 sqrt log x],7.498618139225509,1.0
6,6,0.8701119175308486,0.3952664225046981,(H0*(((Omega+x))**(0.5))),[mul H0 sqrt add Omega x],7.743870360846472,-1.0101210896624766
7,7,0.9314079241895948,0.19499781829638083,((((((Omega+x))**(0.5)))**(0.5))*H0),[mul sqrt sqrt add Omega x H0],4.692485095489454,-1.0101199999999977
11,11,0.9370946186526385,0.17774610400097735,(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[mul H0 sqrt sqrt add n2 Omega log add x Omega],5.174506902135543,-0.010224535665338928
