epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,overall_best_prog_prefix
741,0.07309101975184842,0.7957944889035001,0.9370946186526385,0.8611989389940599,14.0,20.736,0.5055832051700329,214,96,((((cos(((((Omega)**(0.5)))**(-1)))-cos((Omega-exp(x)))))**(0.5))/((H0)**(-1))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[5.36298627 2.04699144],[ 5.1745069  -0.01022454]
742,0.07917699308602881,0.7969436594236321,0.9370946186526385,0.8732759955681771,14.0,20.421,0.5350882989958651,253,104,(((cos((Omega-(((Omega/((log(x))**(0.5))))**(0.5))))/((((H0)**(-1)))**(0.5))))**(2)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[5.02626394 0.27836146],[ 5.1745069  -0.01022454]
743,0.08289270560769939,0.8058763339760909,0.9370946186526385,0.8696419576008501,15.0,20.575,0.6220065025929715,229,108,(((sin(log((x+(((Omega+1)+x)-x)))))**(0.5))/((H0)**(-1))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 7.80600048 -1.01012111],[ 5.1745069  -0.01022454]
744,0.07964312691477567,0.8011673625476172,0.9370946186526385,0.9314079241895948,7.0,20.475,0.36027519956674386,237,103,((((((Omega+x))**(0.5)))**(0.5))*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 4.6924851 -1.01012  ],[ 5.1745069  -0.01022454]
745,0.06712913882568089,0.7897758327415569,0.9370946186526385,0.8520862060776492,9.0,20.407,0.34084853384629277,235,88,(((sin((x+Omega))/((((H0)**(2)))**(-1))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 7.0176691 -1.0101234],[ 5.1745069  -0.01022454]
746,0.07223030763904541,0.7938135802501839,0.9370946186526385,0.8577989560288115,17.0,20.265,0.47663098351664057,258,98,(((cos((Omega+((((((x*H0)/H0))**(0.5))-1)+Omega)))*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[12.25263245  0.78265668],[ 5.1745069  -0.01022454]
747,0.07164247405028872,0.7937812223162417,0.9370946186526385,0.853800967228304,18.0,20.698,0.4427054774080207,223,95,(((((((((((x)**(2))+1)+Omega)/H0)*x)*H0))**(0.5))/1)/((H0)**(-1))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 4.81361252 -2.02034914],[ 5.1745069  -0.01022454]
748,0.0715520770064711,0.7986649396524637,0.9370946186526385,0.8987916949034488,17.0,20.477,0.6029169695201734,233,94,(((((H0+((Omega/((cos(x)+x)/1))*H0))+H0)*H0))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[21.76030328 -3.08375814],[ 5.1745069  -0.01022454]
749,0.07831492336030822,0.7965057743502526,0.9370946186526385,0.8975184232272655,15.0,20.185,0.4988379815858765,263,103,(1*((((log(Omega)*((((x/H0)/H0))**(-1)))-((H0)**(2))))**(0.5))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[10.37286067  2.74593072],[ 5.1745069  -0.01022454]
750,0.08022663557076017,0.7939627681171598,0.9370946186526385,0.8980846120552389,16.0,20.238,0.3987906036185225,260,106,(((((Omega-x)*(1+(H0*((H0)**(-1)))))/(((x/H0))**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[8.46335261 1.01038009],[ 5.1745069  -0.01022454]
751,0.08331738742513733,0.7914703763836733,0.9370946186526385,0.8280624777735729,13.0,20.604,0.3679013666443331,232,110,(((sin(x)-sin(((x+1)+Omega)))*Omega)*H0),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[65.73093809  0.2122305 ],[ 5.1745069  -0.01022454]
752,0.06189672610790658,0.7909232727244131,0.9370946186526385,0.8561292535876948,16.0,20.452,0.6444351897002307,238,82,((((((exp(sin(((Omega)**(0.5))))*x)+(x/1))+Omega)*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 3.78138029 -3.61193124],[ 5.1745069  -0.01022454]
753,0.06832836349828332,0.7880949174147783,0.9370946186526385,0.8428021552638476,18.0,20.544,0.4357355330154568,225,90,(log((((x)**(-1))-(((1)**(2))+((1)**(2)))))*(((Omega/(((x*((H0)**(-1))))**(2))))**(0.5))),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[11.66578701  9.19418397],[ 5.1745069  -0.01022454]
754,0.07521302393955279,0.793406986183094,0.9370946186526385,0.8842773498529878,15.0,20.697,0.43225067401121575,226,99,((((log(x)+((((x)**(-1))+(x+Omega))*1))*((H0)**(2))))**(0.5)),(H0*(((((((Omega)**(2))+log((x+Omega))))**(0.5)))**(0.5))),[ 8.82621017 -2.01017027],[ 5.1745069  -0.01022454]
