i_eq,i_trial,noise,n_reals,# EVALUATIONS,STARTED,FINISHED,last_pareto_expression,symbolic_error,symbolic_fraction,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,sympy_exception,symbolic_solution,equivalent_expr,i_pareto,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,RUN COMMAND,RUN NAME,result_analysis_time
7,2,0.0,1,198369,True,True,3.62*(m/A)**0.5,0,1,True,True,True,,True,3.62*m**0.5/A**0.5,10,0.9999999999999992,True,0.9999999999999571,True,python classbench_run.py -i 7 -t 2 -n 0.000000 -r 1,CR_7_2_1_0.000000,1.3813681602478027
7,2,0.0,10,198181,True,True,3.62*(-m/A)**0.5,3.59*m**0.52*(1 - I)/A**0.52,-I,False,False,True,,True,3.62*I*m**0.5/A**0.5,6,0.9999999999999606,True,1.0,True,python classbench_run.py -i 7 -t 2 -n 0.000000 -r 10,CR_7_2_10_0.000000,0.714392900466919
7,2,0.001,1,198933,True,True,3.62*(m/A)**0.5,0,1,True,True,True,,True,3.62*m**0.5/A**0.5,9,0.9999997960392956,True,0.9999999999973505,True,python classbench_run.py -i 7 -t 2 -n 0.001000 -r 1,CR_7_2_1_0.001000,1.688676118850708
7,2,0.001,10,199051,True,True,3.61790149341302*(m/A)**0.5,0,1,True,True,True,,True,3.62*m**0.5/A**0.5,11,0.999999758235059,True,0.9999999999999966,True,python classbench_run.py -i 7 -t 2 -n 0.001000 -r 10,CR_7_2_10_0.001000,2.3838367462158203
7,2,0.01,1,199177,True,True,((1.53*m**0.5*(m + 12.37) + 3.53*m - 11.69)/A)**0.5,3.59*m**0.52*(1 - I)/A**0.52,-I,False,False,True,,True,3.61*I*m**0.5/A**0.5 + 0.02,9,0.9999370665295116,True,0.999999998390966,True,python classbench_run.py -i 7 -t 2 -n 0.010000 -r 1,CR_7_2_1_0.010000,8.17475700378418
7,2,0.01,10,199574,True,True,3.64*(0.02 + m/A)**0.5 - 0.06,0,1,True,True,True,,True,3.61*m**0.5/A**0.5,8,0.9999716822380031,True,0.9999999999999996,True,python classbench_run.py -i 7 -t 2 -n 0.010000 -r 10,CR_7_2_10_0.010000,1.3549818992614746
7,2,0.1,1,199738,True,True,3.1*((m + (-0.39*A + m - 0.64)**0.5)/A)**0.5,m**0.5*(3.6 - 2.2*A**0.5)/A**0.5,1.6/A**0.5,False,False,False,,False,,0,0.9952215828050748,False,0.9966794937033572,False,python classbench_run.py -i 7 -t 2 -n 0.100000 -r 1,CR_7_2_1_0.100000,2.0700788497924805
7,2,0.1,10,199681,True,True,3.55*(0.02*A + (m + (0.02 - 0.02/A)/A)/A)**0.5,0,1,True,True,True,,True,3.6*m**0.5/A**0.5,5,0.997661499578417,False,1.0,True,python classbench_run.py -i 7 -t 2 -n 0.100000 -r 10,CR_7_2_10_0.100000,0.3371193408966064
7,3,0.0,1,198613,True,True,3.33010014864418*(m/A)**0.5,0,1,True,True,True,,True,3.33*m**0.5/A**0.5,14,1.0,True,0.999999999999984,True,python classbench_run.py -i 7 -t 3 -n 0.000000 -r 1,CR_7_3_1_0.000000,1.471261978149414
7,3,0.0,10,199478,True,True,3.31388738685276*(m/A)**0.5,0,1,True,True,True,,True,3.33*m**0.5/A**0.5,12,0.999999999999956,True,0.999999999999885,True,python classbench_run.py -i 7 -t 3 -n 0.000000 -r 10,CR_7_3_10_0.000000,1.4676008224487305
