i_eq,noise,n_reals,target_formula,symbolic_solution,test_r2,accuracy_solution,test_r2_refit,accuracy_solution_refit,# EVALUATIONS,FINISHED
5,0.001,10,1/(exp(5.90*nu/T)-1),1.0,0.9999995900744716,1.0,0.999999999766895,1.0,198922.4,True
5,0.01,1,1/(exp(5.90*nu/T)-1),0.6,0.9999925392669876,1.0,0.9999999996170764,1.0,198545.0,True
5,0.01,10,1/(exp(5.90*nu/T)-1),0.8,0.99999659619601,1.0,0.9999999972624272,1.0,198995.6,True
5,0.1,1,1/(exp(5.90*nu/T)-1),0.0,0.999275538821784,0.6,0.9998501270143224,1.0,199155.0,True
5,0.1,10,1/(exp(5.90*nu/T)-1),0.6,0.9996373726025728,1.0,0.9999999973824382,1.0,198739.6,True
6,0.0,1,n*8.314*T/V,1.0,1.0,1.0,1.0,1.0,199341.2,True
6,0.0,10,n*8.314*T/V,1.0,0.9999999999999998,1.0,1.0,1.0,199256.6,True
6,0.001,1,n*8.314*T/V,1.0,0.999999817994611,1.0,0.9999999999999996,1.0,199470.2,True
6,0.001,10,n*8.314*T/V,1.0,0.9999999093345476,1.0,0.9999999999999998,1.0,198807.0,True
6,0.01,1,n*8.314*T/V,1.0,0.9999785383161128,1.0,1.0,1.0,198930.0,True
6,0.01,10,n*8.314*T/V,1.0,0.999990608404411,1.0,1.0,0.8,198964.2,True
6,0.1,1,n*8.314*T/V,1.0,0.9903575799557572,0.0,1.0,1.0,198672.2,True
6,0.1,10,n*8.314*T/V,1.0,0.9990578769504684,0.6,1.0,1.0,198773.2,True
7,0.0,1,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9999999999999992,1.0,0.9999999999999988,1.0,198870.2,True
7,0.0,10,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9999999999999428,1.0,1.0,1.0,198856.8,True
7,0.001,1,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.999999585218724,1.0,0.999999999985708,1.0,198873.8,True
7,0.001,10,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9999997974778544,1.0,0.9999999999996498,1.0,198891.2,True
7,0.01,1,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9999413807146434,1.0,0.9999999998706424,1.0,198683.4,True
7,0.01,10,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9999775346003714,1.0,0.9999999999999996,1.0,199260.2,True
7,0.1,1,sqrt(2*m*9.807/(rho*A*0.470)),0.8,0.9947265708629032,0.0,0.9999999999999946,0.8,199457.0,True
7,0.1,10,sqrt(2*m*9.807/(rho*A*0.470)),1.0,0.9977496498284938,0.0,0.9999999999999912,1.0,199476.8,True
