EQ NB,algorithm,data_group,dataset,EQ NB,target_noise,true_model,# EVALUATIONS,STARTED,FINISHED,model_size,simplified_complexity,symbolic_error_is_zero,symbolic_error_is_constant,symbolic_fraction_is_constant,symbolic_solution,mse_test,mae_test,r2_test,r2_zero_test,accuracy_solution
27,PhySO,Feynman,feynman_I_29_4,27,0.1,omega/c,4954607,5,5,6.0,5.2,5,5,5,1.0,1.2601637612032146e-08,8.268673949091166e-05,0.9999999926382271,0.9999999926340009,1.0
28,PhySO,Feynman,feynman_I_29_16,28,0.1,1.41*(0.5*x1**2 - x1*x2*cos(theta1 - theta2) + 0.5*x2**2)**0.5,4956032,5,5,18.0,17.0,0,0,0,0.0,inf,inf,0.0,0.0,0.0
29,PhySO,Feynman,feynman_I_30_3,29,0.1,2*Int_0*sin(n*theta/2)**2/(1 - cos(theta)),4971520,5,5,13.0,12.6,0,0,0,0.0,2.4149499029218635,0.9470787537231676,0.6476402670865519,0.6500318527033115,0.0
31,PhySO,Feynman,feynman_I_32_5,31,0.1,0.053*a**2*q**2/(c**3*epsilon),1982654,5,2,14.2,14.0,5,5,5,1.0,5.449193889878272e-07,0.00024600351095828795,0.999999116289959,0.9999991116803225,1.0
32,PhySO,Feynman,feynman_I_32_17,32,0.1,4.19*Ef**2*c*epsilon*omega**4*r**2/(omega**2 - omega_0**2)**2,4956679,5,5,17.2,17.2,0,0,0,0.0,0.01844102653759287,0.10337555270668798,0.9991267878593952,0.9991411609141023,0.6
33,PhySO,Feynman,feynman_I_34_8,33,0.1,B*q*v/p,4952778,5,5,8.0,7.2,5,5,5,1.0,3.4989458022041506e-09,4.334021374501519e-05,0.999999999966212,0.9999999999659284,1.0
34,PhySO,Feynman,feynman_I_34_1,34,0.1,c*omega_0/(c - v),4961192,5,5,14.4,12.8,3,3,3,0.6,1.8430028365685734e-05,0.003956428151852729,0.9999941777080764,0.9999941740621187,0.8
35,PhySO,Feynman,feynman_I_34_14,35,0.1,omega_0*(c + v)/(c**2 - v**2)**0.5,4956415,5,5,21.8,22.4,0,0,0,0.0,inf,inf,0.0,0.0,0.4
36,PhySO,Feynman,feynman_I_34_27,36,0.1,0.159*h*omega,4953900,5,5,7.0,5.0,4,4,5,1.0,5.0640382422739305e-05,0.006194428731247054,0.9999222171621808,0.9999219872729452,1.0
37,PhySO,Feynman,feynman_I_37_4,37,0.1,2*I1**0.5*I2**0.5*cos(delta) + I1 + I2,4980157,5,5,16.4,14.0,0,0,0,0.0,0.038177823264584465,0.12709887904496794,0.9953698638197839,0.9953697612016169,0.0
38,PhySO,Feynman,feynman_I_38_12,38,0.1,0.318*epsilon*h**2/(m*q**2),4955821,5,5,12.0,12.0,5,5,5,1.0,3.3813364915042176e-06,0.000886748418001227,0.9999983537871082,0.9999983462014513,1.0
39,PhySO,Feynman,feynman_I_39_1,39,0.1,1.5*V*pr,4953569,5,5,7.0,5.2,0,0,5,1.0,26.615099004387567,4.496689762691241,0.5410506420230912,0.5386947641405457,0.2
40,PhySO,Feynman,feynman_I_39_11,40,0.1,V*pr/(gamma - 1),4964450,5,5,9.2,8.2,3,3,5,1.0,1.4913617396432469e-05,0.002797696774328433,0.9999984097400084,0.9999984150585987,1.0
41,PhySO,Feynman,feynman_I_39_22,41,0.1,T*kb*n/V,4957676,5,5,13.8,10.6,3,3,5,1.0,0.0001322495276863998,0.00789830070067374,0.9999987160996957,0.9999987057838252,1.0
42,PhySO,Feynman,feynman_I_40_1,42,0.1,n_0*exp(-g*m*x/(T*kb)),4969441,5,5,12.2,8.2,False,False,False,0.0,inf,inf,0.0,0.0,0.0
43,PhySO,Feynman,feynman_I_41_16,43,0.1,0.016*h*omega**3/(c**2*(exp(0.159*h*omega/(T*kb)) - 1)),4955874,5,5,11.6,11.2,0,0,0,0.0,0.043882478030599414,0.09336313893156634,0.9952432239079342,0.9952143788828328,0.2
44,PhySO,Feynman,feynman_I_43_16,44,0.1,Volt*mu_drift*q/d,4952448,5,5,8.0,7.4,4,4,5,1.0,0.0002188453603010317,0.010835782502034975,0.9999978476302765,0.999997838050759,1.0
45,PhySO,Feynman,feynman_I_43_31,45,0.1,T*kb*mob,4951806,5,5,5.0,4.2,5,5,5,1.0,0.00046924182001794066,0.017614399624433816,0.9999987511502162,0.9999987478566232,1.0
46,PhySO,Feynman,feynman_I_43_43,46,0.1,kb*v/(A*(gamma - 1)),4963616,5,5,14.6,14.0,3,3,4,0.8,1.8613295894062446e-06,0.0008152177425063609,0.99999925201099,0.999999256684346,1.0
47,PhySO,Feynman,feynman_I_44_4,47,0.1,log((V2/V1)**(T*kb*n)),4960138,5,5,13.8,12.8,2,2,5,1.0,0.0007915340111829682,0.016887777830918854,0.9999981114340765,0.9999981046612945,1.0
48,PhySO,Feynman,feynman_I_47_23,48,0.1,gamma**0.5*pr**0.5/rho**0.5,4960208,5,5,18.4,12.4,1,1,5,1.0,3.618289830343033,1.7779798261937356,0.0,0.0,0.4
49,PhySO,Feynman,feynman_I_48_2,49,0.1,c**3.0*m/(c**2 - v**2)**0.5,4954043,5,5,15.4,15.2,0,0,0,0.0,0.06444223342465523,0.2108167436845009,0.9999936926981773,0.9999936968692016,0.8
50,PhySO,Feynman,feynman_I_50_26,50,0.1,x1*(alpha*cos(omega*t) + 1)*cos(omega*t),4963664,5,5,17.2,16.8,1,1,1,0.2,0.15588263115029197,0.2928435211924312,0.9594891171709193,0.959386755367417,0.2
51,PhySO,Feynman,feynman_II_2_42,51,0.1,A*kappa*(-T1 + T2)/d,4961050,5,5,15.6,13.0,4,4,5,1.0,6.570213164777467e-05,0.005422607106120868,0.9999988529307514,0.9999988485067288,1.0
52,PhySO,Feynman,feynman_II_3_24,52,0.1,0.08*Pwr/r**2,4954365,5,5,6.0,6.0,5,5,5,1.0,3.339477389698778e-08,0.00011814512918683873,0.9999893604994043,0.9999893881626111,1.0
53,PhySO,Feynman,feynman_II_4_23,53,0.1,0.08*q/(epsilon*r),4952878,5,5,9.0,9.0,5,5,5,1.0,1.759056640214777e-10,1.0027723172117393e-05,0.9999998430063616,0.9999998441006565,1.0
54,PhySO,Feynman,feynman_II_6_11,54,0.1,0.08*p_d*cos(theta)/(epsilon*r**2),4958330,5,5,11.0,11.0,5,5,5,1.0,1.0949642037796757e-09,2.146408086309866e-05,0.9999973695779248,0.9999973614188749,1.0
55,PhySO,Feynman,feynman_II_6_15a,55,0.1,0.239*p_d*z*(x**2 + y**2)**0.5/(epsilon*r**5),4955422,5,5,13.2,13.2,0,0,0,0.0,0.00010016510651003949,0.0035463261144437746,0.9992763193556082,0.9992825084011927,0.6
56,PhySO,Feynman,feynman_II_6_15b,56,0.1,0.12*p_d*sin(2*theta)/(epsilon*r**3),4962973,5,5,13.8,13.0,5,5,5,1.0,3.6364577179850955e-10,1.1172850029777881e-05,0.9999995965318864,0.9999995955471978,1.0
57,PhySO,Feynman,feynman_II_8_7,57,0.1,0.048*q**2/(d*epsilon),4954171,5,5,11.0,11.0,5,5,5,1.0,5.536704617911772e-10,1.5691663088437514e-05,0.9999999292910849,0.9999999294389301,1.0
58,PhySO,Feynman,feynman_II_8_31,58,0.1,0.5*Ef**2*epsilon,4954574,5,5,6.4,6.0,5,5,5,1.0,3.585830205559397e-05,0.004616210284887896,0.9999997819239729,0.9999997816430976,1.0
59,PhySO,Feynman,feynman_II_10_9,59,0.1,sigma_den/(epsilon*(chi + 1)),4965639,5,5,15.6,12.2,4,4,4,0.8,7.55357757724735e-08,0.00022569046031181882,0.9999988065840135,0.9999988012995287,1.0
60,PhySO,Feynman,feynman_II_11_3,60,0.1,-Ef*q/(m*(omega**2 - omega_0**2)),4953545,5,5,19.8,18.8,1,1,1,0.2,2.627221655588915e-07,0.0002745915384404269,0.9999821740685003,0.999982370268838,1.0
