m,x,y,z,vx,vy,vz,ra,dec,dis,vh,mu_r,mu_d,l,b,mu_l,mu_b,l_alt,phi1,phi2,mu_p1,mu_p2,sID
0.0,-15.463178,0.838053,25.428529,-199.506194,-46.585215,172.708799,177.430612,36.510663,26.464811,202.692626,-2.127696,-1.665259,173.437804,73.913199,2.528211,-0.953063,173.437804,29.509995,2.296986,1.802824,2.012463,57
0.0,-17.430735,0.371026,27.111259,-194.032749,-46.788703,163.96051,173.636013,36.687073,28.649103,205.88369,-1.805785,-1.624878,177.703722,71.141792,2.23518,-0.951343,177.703722,32.549583,2.594124,1.571674,1.852276,57
0.0,-19.344374,-0.097186,28.710025,-188.723942,-46.829866,155.898101,170.418843,36.726463,30.805241,207.159385,-1.550129,-1.571838,-179.501342,68.746397,2.0138,-0.904536,-179.501342,35.118654,2.855109,1.387604,1.717012,57
0.0,-21.205771,-0.565163,30.231184,-183.584273,-46.747109,148.424388,167.661724,36.678415,32.923649,207.102891,-1.344951,-1.513963,-177.515988,66.667362,1.839977,-0.84585,-177.515988,37.320378,3.087093,1.238975,1.601849,57
0.0,-23.016611,-1.031812,31.680212,-178.611502,-46.568426,141.46025,165.274287,36.574448,34.998355,206.108837,-1.17841,-1.455568,-176.022307,64.849083,1.699364,-0.787077,-176.022307,39.230774,3.295542,1.117337,1.50296,57
0.0,-24.778534,-1.496283,33.061871,-173.799755,-46.3146,134.940657,163.186849,36.43488,37.025719,204.448756,-1.041699,-1.398942,-174.849584,63.245473,1.582979,-0.732361,-174.849584,40.906713,3.484666,1.016526,1.417339,57
0.0,-26.493113,-1.957907,34.380328,-169.14132,-46.001297,128.811655,161.345349,36.272984,39.003637,202.312526,-0.928252,-1.345223,-173.898187,61.819552,1.484895,-0.682907,-173.898187,42.3914,3.657736,0.932004,1.342627,57
0.0,-28.16184,-2.416152,35.639256,-164.627685,-45.640496,123.028078,159.70749,36.097531,40.931018,199.83492,-0.833149,-1.294897,-173.106099,60.541847,1.401027,-0.638763,-173.106099,43.71815,3.817327,0.860384,1.276963,57
0.0,-29.786119,-2.870591,36.841914,-160.250139,-45.241466,117.551797,158.239868,35.914367,42.807449,197.112891,-0.752665,-1.248088,-172.432692,59.38881,1.328451,-0.599537,-172.432692,44.913009,3.965487,0.799114,1.21887,57
0.0,-31.367266,-3.320879,37.991208,-156.000122,-44.811455,112.35037,156.915839,35.727411,44.632972,194.217004,-0.683954,-1.204722,-171.850221,58.341505,1.265014,-0.564701,-171.850221,45.99661,4.103866,0.74624,1.167165,57
0.0,-32.906517,-3.766736,39.089745,-151.869408,-44.356185,107.395994,155.713952,35.539294,46.407931,191.199142,-0.62482,-1.164626,-171.339077,57.384587,1.20909,-0.533719,-171.339077,46.985493,4.233808,0.700252,1.120893,57
0.0,-34.405025,-4.207934,40.139872,-147.850207,-43.880209,102.664679,154.616768,35.351776,48.132867,188.097766,-0.573549,-1.127579,-170.884995,56.505514,1.159423,-0.506094,-170.884995,47.893067,4.356417,0.659965,1.079277,57
0.0,-35.863868,-4.644284,41.143713,-143.935206,-43.387175,98.135595,153.609988,35.166024,49.808451,184.941585,-0.52879,-1.093346,-170.477337,55.693951,1.11503,-0.481388,-170.477337,48.730311,4.472612,0.624445,1.041679,57
0.0,-37.284054,-5.07563,42.103197,-140.117578,-42.880027,93.790553,152.681787,34.982793,51.435431,181.752128,-0.48947,-1.061695,-170.108003,54.941311,1.075126,-0.459218,-170.108003,49.506302,4.583161,0.59294,1.007571,57
