complexity,length,reward,rmse,expression,expression_prefix,H0,Omega
4,4,0.791733957711619,0.6965221412364989,(exp(x)*H0),[mul exp x H0],0.669973943833619,1.0
5,5,0.820750113539786,0.5782873236325774,(H0*log(((x)**(2)))),[mul H0 log n2 x],14.12464674610215,1.0
11,11,0.8364264003134507,0.5178228535909694,(((((x*log(((x)**(-1)))))**(0.5))/x)/((H0)**(-1))),[div div sqrt mul x log inv x x inv H0],8.040899263915362,1.0
12,12,0.8461241021356738,0.48153988916901513,(((sin(((((((((x-1))**(-1)))**(0.5)))**(0.5))*1)))**(0.5))*H0),[mul sqrt sin mul sqrt sqrt inv sub x 1 1 H0],2.5930454710907638,1.0
14,14,0.9183989609503617,0.23526647188860342,(((sin((x*(((x/(x-(Omega-x))))**(2)))))**(0.5))*H0),[mul sqrt sin mul x n2 div x sub x sub Omega x H0],3.592299367611379,1.44746436072228
