#name zcmb zhel dz mb dmb
05D4gw 0.80603 0.80603 0.0 24.2544 0.1837 
06D2bk 0.50074 0.50074 0.0 23.0505 0.13595 
06D2cc 0.53378 0.53378 0.0 22.9345 0.1665 
06D2ce 0.82212 0.82212 0.0 24.1676 0.18525 
06D2fb 0.12531 0.12531 0.0 19.4684 0.10355 
06D2gb 0.44368 0.44368 0.0 22.57415 0.1349 
06D3cc 0.68366 0.68366 0.0 23.9441 0.2905 
06D3do 0.72668 0.72668 0.0 23.90005 0.1628 
06D3ed 0.40455 0.40455 0.0 22.44625 0.1075 
06D3em 0.69065 0.69065 0.0 23.7527 0.18375 
06D3et 0.57661 0.57661 0.0 23.2437 0.1229 
06D3gh 0.72068 0.72068 0.0 23.87645 0.2029 
06D4bo 0.55031 0.55031 0.0 23.16815 0.1249 
06D4ce 0.84797 0.84797 0.0 24.3105 0.16975 
06D4co 0.43544 0.43544 0.0 22.36675 0.109 
06D4dh 0.30158 0.30158 0.0 21.64245 0.0939 
03D1aw 0.58073 0.58073 0.0 23.52355 0.1372 
03D1bp 0.34593 0.34593 0.0 22.11525 0.111 
03D1fc 0.33094 0.33094 0.0 21.7829 0.10685 
03D3aw 0.44956 0.44956 0.0 22.78895 0.14135 
03D3ba 0.29172 0.29172 0.0 21.47215 0.12535 
03D3cd 0.46127 0.46127 0.0 22.62945 0.13775 
03D4at 0.63222 0.63222 0.0 23.66065 0.20445 
03D4cj 0.26862 0.26862 0.0 21.1762 0.0993 
03D4cy 0.92491 0.92491 0.0 24.7416 0.1923 
03D4dh 0.62522 0.62522 0.0 23.46015 0.1303 
03D4dy 0.60825 0.60825 0.0 23.3767 0.1266 
03D4gf 0.57828 0.57828 0.0 23.2373 0.13895 
04D1aj 0.71963 0.71963 0.0 23.82525 0.2057 
04D1de 0.7666 0.7666 0.0 24.24705 0.1593 
04D1hd 0.36791 0.36791 0.0 22.24455 0.1019 
04D1hy 0.84852 0.84852 0.0 24.33175 0.14855 
04D1jd 0.7766 0.7766 0.0 24.0942 0.17835 
04D1kj 0.58375 0.58375 0.0 23.2686 0.09915 
04D1oh 0.58873 0.58873 0.0 23.30085 0.13005 
04D1pc 0.76859 0.76859 0.0 24.2078 0.16885 
04D1pg 0.5138 0.5138 0.0 23.12745 0.1329 
04D1pu 0.63771 0.63771 0.0 23.37 0.2329 
04D1rh 0.43487 0.43487 0.0 22.5623 0.1145 
04D1sa 0.58375 0.58375 0.0 23.46355 0.14025 
04D1sk 0.66206 0.66206 0.0 23.74875 0.17955 
04D2an 0.62189 0.62189 0.0 23.4108 0.1628 
04D2fp 0.41664 0.41664 0.0 22.5154 0.11755 
04D2gb 0.45169 0.45169 0.0 22.36265 0.1377 
04D2gp 0.73401 0.73401 0.0 24.04855 0.24055 
04D2ja 0.74202 0.74202 0.0 24.26275 0.21515 
04D2mc 0.34957 0.34957 0.0 21.74 0.12 
04D2mj 0.51476 0.51476 0.0 23.18845 0.1355 
04D3cy 0.64364 0.64364 0.0 23.60755 0.1943 
04D3df 0.47058 0.47058 0.0 22.65205 0.12925 
04D3ez 0.26349 0.26349 0.0 21.15515 0.1079 
04D3fq 0.7427 0.7427 0.0 23.92255 0.19885 
04D3gx 0.91075 0.91075 0.0 24.6116 0.16365 
04D3kr 0.33753 0.33753 0.0 21.9137 0.10655 
04D3lp 0.98377 0.98377 0.0 24.92305 0.1439 
04D3mk 0.81369 0.81369 0.0 24.26675 0.14105 
04D3nc 0.81773 0.81773 0.0 24.3431 0.12085 
04D3nr 0.96075 0.96075 0.0 24.5736 0.1577 
04D3oe 0.75669 0.75669 0.0 24.03965 0.1583 
04D4bk 0.87796 0.87796 0.0 24.42165 0.14325 
04D4dm 0.80902 0.80902 0.0 24.20795 0.1668 
04D4fx 0.62723 0.62723 0.0 23.4134 0.138 
04D4hf 0.93389 0.93389 0.0 24.7653 0.2009 
04D4ib 0.69715 0.69715 0.0 23.78265 0.16195 
04D4id 0.76706 0.76706 0.0 24.3849 0.17855 
04D4ii 0.86397 0.86397 0.0 24.39625 0.15285 
04D4in 0.51434 0.51434 0.0 22.98745 0.11725 
04D4ju 0.47039 0.47039 0.0 23.1005 0.141 
04D4jy 0.9279 0.9279 0.0 24.7789 0.1829 
05D1cb 0.63071 0.63071 0.0 23.4092 0.1432 
05D1ck 0.6157 0.6157 0.0 23.56625 0.1433 
05D1dn 0.56475 0.56475 0.0 23.2891 0.13595 
05D1ee 0.55775 0.55775 0.0 23.2494 0.1349 
05D1eo 0.73561 0.73561 0.0 24.06925 0.19205 
05D1hk 0.26199 0.26199 0.0 21.15835 0.1082 
05D1if 0.76159 0.76159 0.0 23.97575 0.15445 
05D1iz 0.85852 0.85852 0.0 24.54425 0.17845 
05D1kl 0.55875 0.55875 0.0 23.6061 0.15165 
05D2ac 0.48072 0.48072 0.0 22.74835 0.1138 
05D2ay 0.92224 0.92224 0.0 24.57175 0.18725 
05D2bv 0.47572 0.47572 0.0 22.6952 0.109 
05D2by 0.8932 0.8932 0.0 24.5781 0.1577 
05D2ci 0.6319 0.6319 0.0 23.1617 0.17705 
05D2ct 0.73602 0.73602 0.0 24.02845 0.2108 
05D2dw 0.41865 0.41865 0.0 22.38625 0.1152 
05D2eb 0.53578 0.53578 0.0 22.98355 0.1266 
05D2fq 0.73501 0.73501 0.0 24.09175 0.17825 
05D2he 0.60987 0.60987 0.0 23.5447 0.14865 
05D2le 0.70198 0.70198 0.0 23.8387 0.16475 
05D2my 0.9833 0.9833 0.0 24.78095 0.143 
05D2nt 0.75905 0.75905 0.0 24.0557 0.15165 
05D3ax 0.64364 0.64364 0.0 23.6045 0.2013 
05D3ci 0.51559 0.51559 0.0 23.02365 0.1762 
05D3cx 0.80569 0.80569 0.0 24.0139 0.1301 
05D3dh 0.8007 0.8007 0.0 23.82255 0.1606 
05D3gv 0.71565 0.71565 0.0 23.84395 0.19425 
05D3hh 0.76668 0.76668 0.0 24.2307 0.1806 
